epoch,train_loss,iou,dice,f1,epoch_time,throughput
118,0.4146,0.7963,0.8864,0.8864,39.5359,2.2764
119,0.4134,0.7989,0.8879,0.8879,38.5353,2.3355
120,0.4165,0.8040,0.8912,0.8912,38.1176,2.3611
121,0.4162,0.7952,0.8857,0.8857,38.2935,2.3503
122,0.4160,0.7956,0.8859,0.8859,38.2051,2.3557
123,0.4108,0.7952,0.8856,0.8856,37.6467,2.3906
124,0.4119,0.7926,0.8840,0.8840,39.6030,2.2726
125,0.4108,0.8016,0.8896,0.8896,40.3161,2.2324
126,0.4091,0.7813,0.8769,0.8769,39.6117,2.2721
127,0.4143,0.8106,0.8952,0.8952,40.4017,2.2276
128,0.4174,0.7909,0.8830,0.8830,39.4332,2.2823
129,0.4142,0.8102,0.8950,0.8950,40.5629,2.2188
130,0.4128,0.7873,0.8807,0.8807,39.7551,2.2639
131,0.4137,0.7964,0.8864,0.8864,40.6060,2.2164
132,0.4126,0.8064,0.8926,0.8926,40.7030,2.2111
133,0.4090,0.8006,0.8890,0.8890,40.8690,2.2022
134,0.4108,0.7976,0.8872,0.8872,40.8607,2.2026
135,0.4147,0.8056,0.8921,0.8921,40.2749,2.2346
136,0.4099,0.7881,0.8812,0.8812,40.4568,2.2246
137,0.4095,0.8016,0.8896,0.8896,40.7463,2.2088
138,0.4062,0.7945,0.8852,0.8852,40.3335,2.2314
139,0.4084,0.8007,0.8891,0.8891,39.5123,2.2778
140,0.4073,0.8148,0.8978,0.8978,40.1580,2.2411
141,0.4093,0.7881,0.8812,0.8812,39.8256,2.2599
142,0.4076,0.8030,0.8905,0.8905,39.7688,2.2631
143,0.4102,0.8116,0.8958,0.8958,40.3466,2.2307
144,0.4094,0.7800,0.8761,0.8761,40.0923,2.2448
145,0.4107,0.8112,0.8955,0.8955,40.4540,2.2247
146,0.4102,0.8003,0.8888,0.8888,40.4583,2.2245
147,0.4062,0.8000,0.8887,0.8887,40.4459,2.2252
148,0.4076,0.8085,0.8939,0.8939,41.6399,2.1614
149,0.4097,0.7934,0.8845,0.8845,41.3078,2.1788
150,0.4076,0.8064,0.8926,0.8926,41.9020,2.1479
151,0.4110,0.7946,0.8853,0.8853,40.7459,2.2088
152,0.4028,0.8033,0.8907,0.8907,39.9978,2.2501
153,0.4083,0.8012,0.8894,0.8894,39.1244,2.3004
154,0.4032,0.7882,0.8813,0.8813,39.1300,2.3000
155,0.4069,0.8007,0.8891,0.8891,39.2856,2.2909
