epoch,train_loss,iou,dice,f1,epoch_time,throughput
118,0.1446,0.6079,0.7524,0.7524,48.6560,2.2197
119,0.1441,0.6461,0.7829,0.7829,49.5307,2.1805
120,0.1441,0.6103,0.7544,0.7544,49.4870,2.1824
121,0.1438,0.5737,0.7242,0.7242,48.6575,2.2196
122,0.1428,0.5718,0.7227,0.7227,48.0027,2.2499
123,0.1432,0.6494,0.7849,0.7849,47.8665,2.2563
124,0.1416,0.6486,0.7844,0.7844,48.3816,2.2323
125,0.1413,0.6101,0.7544,0.7544,48.0029,2.2499
126,0.1404,0.6185,0.7612,0.7612,48.0793,2.2463
127,0.1401,0.6321,0.7720,0.7720,48.4036,2.2312
128,0.1396,0.6515,0.7870,0.7870,48.4469,2.2292
129,0.1391,0.6516,0.7871,0.7871,47.3478,2.2810
130,0.1392,0.6298,0.7701,0.7701,47.9429,2.2527
131,0.1388,0.6135,0.7574,0.7574,48.0977,2.2454
132,0.1379,0.6509,0.7863,0.7863,47.7918,2.2598
133,0.1380,0.6159,0.7594,0.7594,47.8232,2.2583
134,0.1381,0.6285,0.7692,0.7692,48.2579,2.2380
135,0.1374,0.6542,0.7885,0.7885,48.3244,2.2349
136,0.1362,0.6268,0.7677,0.7677,48.2787,2.2370
137,0.1364,0.6409,0.7787,0.7787,47.9082,2.2543
138,0.1361,0.6376,0.7763,0.7763,48.3981,2.2315
139,0.1359,0.6434,0.7807,0.7807,48.4883,2.2273
140,0.1356,0.6033,0.7490,0.7490,48.4479,2.2292
141,0.1347,0.6169,0.7600,0.7600,48.5311,2.2254
142,0.1344,0.6479,0.7840,0.7840,48.5968,2.2224
143,0.1337,0.6239,0.7657,0.7657,47.8399,2.2575
144,0.1337,0.6297,0.7702,0.7702,47.8873,2.2553
145,0.1335,0.5838,0.7324,0.7324,48.1209,2.2443
146,0.1326,0.6219,0.7638,0.7638,48.2941,2.2363
147,0.1326,0.6313,0.7715,0.7715,48.2346,2.2391
148,0.1322,0.6186,0.7615,0.7615,47.3701,2.2799
149,0.1313,0.6327,0.7727,0.7727,47.4884,2.2742
150,0.1312,0.6280,0.7689,0.7689,48.2882,2.2366
